id,name,genres
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']"
2mpeljBig2IXLXRAFO9AAs,Dido,"['dance pop', 'europop', 'lilith', 'neo mellow', 'pop rock']"
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
74ASZWbe4lXaubB36ztrGX,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']"
1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,"['classic soul', 'funk', 'quiet storm', 'soul']"
19eLuQmk9aCobbVDHc6eek,Louis Armstrong,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']"
6uothxMWeLWIhsGeF7cyo4,Enya,"['celtic', 'gregorian dance', 'operatic pop']"
4RddZ3iHvSpGV4dvATac9X,Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']"
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
2jzc5TC5TVFLXQlBNiIUzE,a-ha,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,"['album rock', 'alternative metal', 'glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']"
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,"['adult standards', 'jazz', 'jazz blues', 'soul', 'swing', 'vocal jazz']"
47zz7sob9NUcODy0BTDvKx,Sade,"['british soul', 'sophisti-pop']"
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,['rap kreyol']
